GNa_fast,GNa_late,Gto,GKr,GKs,GK1,GNaCa,GKb,PCa,INaK,PNab,PCab,GpCa,SERCA_total,RyR_total,Trans_total,Leak_total,KCaMK
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
