ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
1899.98917,690.1133951,NaN,NaN,NaN,NaN,NaN,NaN,1899.973029,689.5604613,NaN,NaN,859.7330948,1090.346278
1900.159566,690.1029795,NaN,NaN,NaN,NaN,NaN,NaN,1899.969432,690.0344148,NaN,NaN,859.8430599,1089.672342
1899.854586,689.9579005,NaN,NaN,NaN,NaN,NaN,NaN,1899.768399,690.260682,NaN,NaN,859.786304,1090.132878
1899.955907,689.8345152,NaN,NaN,NaN,NaN,NaN,NaN,1900.052184,690.3415644,NaN,NaN,859.9545207,1089.929452
1900.017581,690.3694298,NaN,NaN,NaN,NaN,NaN,NaN,1900.028479,690.0777569,NaN,NaN,860.2648294,1089.894605
1900.002938,689.9375369,NaN,NaN,NaN,NaN,NaN,NaN,1900.222561,690.3581505,NaN,NaN,860.226137,1089.866502
1900.104503,689.9911317,NaN,NaN,NaN,NaN,NaN,NaN,1899.983406,689.830865,NaN,NaN,859.8304972,1089.875587
1899.847732,690.2857047,NaN,NaN,NaN,NaN,NaN,NaN,1899.894874,690.0783207,NaN,NaN,860.086758,1089.55457
1899.881433,689.9351619,NaN,NaN,NaN,NaN,NaN,NaN,1900.409382,689.7469001,NaN,NaN,859.9994876,1089.826427
1899.873469,689.769435,NaN,NaN,NaN,NaN,NaN,NaN,1900.185211,689.8711792,NaN,NaN,860.081547,1090.448978
1899.836105,689.9915125,NaN,NaN,NaN,NaN,NaN,NaN,1899.677425,690.1239538,NaN,NaN,860.2979881,1089.977996
1900.141442,690.4051199,NaN,NaN,NaN,NaN,NaN,NaN,1900.174022,689.9396212,NaN,NaN,860.0444533,1090.121606
1900.242534,689.8594438,NaN,NaN,NaN,NaN,NaN,NaN,1900.217755,690.3262423,NaN,NaN,859.7717042,1090.187616
1899.543867,689.9514258,NaN,NaN,NaN,NaN,NaN,NaN,1899.7824,689.6247583,NaN,NaN,859.9587884,1089.485327
1900.115273,689.9970953,NaN,NaN,NaN,NaN,NaN,NaN,1900.005938,690.0214765,NaN,NaN,859.9959594,1090.118299
1900.117481,690.3600289,NaN,NaN,NaN,NaN,NaN,NaN,1900.200021,690.0964046,NaN,NaN,860.2423117,1089.769845
1900.175906,690.2470615,NaN,NaN,NaN,NaN,NaN,NaN,1899.941122,689.6838928,NaN,NaN,859.8291289,1090.308081
1899.868911,690.0973998,NaN,NaN,NaN,NaN,NaN,NaN,1899.731504,690.1075087,NaN,NaN,860.3053842,1089.817404
1900.004975,689.9289883,NaN,NaN,NaN,NaN,NaN,NaN,1899.978583,689.6021553,NaN,NaN,860.1367569,1089.867519
1900.178504,689.7154429,NaN,NaN,NaN,NaN,NaN,NaN,1899.584209,690.0432277,NaN,NaN,859.8056318,1089.82545
1900.070939,690.1055964,NaN,NaN,NaN,NaN,NaN,NaN,1899.840939,689.9124983,NaN,NaN,860.0879926,1090.070936
1900.01474,689.7432327,NaN,NaN,NaN,NaN,NaN,NaN,1900.192153,690.0103238,NaN,NaN,859.9691622,1090.215298
1899.912701,690.2584038,NaN,NaN,NaN,NaN,NaN,NaN,1900.150334,690.0217287,NaN,NaN,859.8718716,1090.11886
1900.007745,690.1846392,NaN,NaN,NaN,NaN,NaN,NaN,1899.977531,689.6928744,NaN,NaN,859.8263816,1090.33107
1899.824914,689.8849481,NaN,NaN,NaN,NaN,NaN,NaN,1900.042786,690.0232302,NaN,NaN,859.8393964,1089.91614
1899.923506,690.1379273,NaN,NaN,NaN,NaN,NaN,NaN,1900.096244,689.7600641,NaN,NaN,860.1403464,1090.157045
1900.34541,689.8349968,NaN,NaN,NaN,NaN,NaN,NaN,1899.978434,689.8214372,NaN,NaN,859.7337195,1090.060015
1900.090858,690.0611869,NaN,NaN,NaN,NaN,NaN,NaN,1900.226035,689.7511334,NaN,NaN,860.0956018,1090.610216
1900.344423,689.8221219,NaN,NaN,NaN,NaN,NaN,NaN,1900.012004,690.0255607,NaN,NaN,859.9072107,1089.97706
1899.861188,689.957403,NaN,NaN,NaN,NaN,NaN,NaN,1899.838241,690.0479074,NaN,NaN,859.8597467,1089.905606
1900.309207,690.1611826,NaN,NaN,NaN,NaN,NaN,NaN,1900.162686,690.1312264,NaN,NaN,859.8179263,1090.706995
1899.750451,689.7911203,NaN,NaN,NaN,NaN,NaN,NaN,1899.979534,689.6786479,NaN,NaN,860.0674956,1090.01827
1899.801253,690.6011547,NaN,NaN,NaN,NaN,NaN,NaN,1899.696711,690.0424512,NaN,NaN,860.0496164,1090.050513
1900.320285,690.0987661,NaN,NaN,NaN,NaN,NaN,NaN,1900.07512,690.14222,NaN,NaN,860.3477589,1089.606679
1900.313049,690.1618652,NaN,NaN,NaN,NaN,NaN,NaN,1900.068462,690.0697384,NaN,NaN,859.925017,1090.191464
1900.267321,690.003409,NaN,NaN,NaN,NaN,NaN,NaN,1899.606178,690.5455095,NaN,NaN,859.9281218,1089.909402
1900.36936,690.10728,NaN,NaN,NaN,NaN,NaN,NaN,1900.1738,689.805365,NaN,NaN,860.0124238,1090.265845
1900.055457,689.6622452,NaN,NaN,NaN,NaN,NaN,NaN,1899.808147,689.734172,NaN,NaN,859.9648275,1090.539436
1899.931589,689.8321785,NaN,NaN,NaN,NaN,NaN,NaN,1899.82248,690.2304901,NaN,NaN,860.0189152,1089.984154
1900.196884,690.2052092,NaN,NaN,NaN,NaN,NaN,NaN,1899.719156,689.6828795,NaN,NaN,859.6953049,1089.88558
1900.158187,690.1348754,NaN,NaN,NaN,NaN,NaN,NaN,1900.140748,689.6055257,NaN,NaN,859.8543243,1089.988149
1899.887423,689.8466581,NaN,NaN,NaN,NaN,NaN,NaN,1899.721256,690.208811,NaN,NaN,860.2149403,1089.850301
1899.95176,690.0248456,NaN,NaN,NaN,NaN,NaN,NaN,1899.790221,689.4117024,NaN,NaN,859.9371883,1090.242726
1899.849356,690.0570973,NaN,NaN,NaN,NaN,NaN,NaN,1899.849126,689.9448288,NaN,NaN,859.9651125,1090.162517
