ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
1785.694608,362.7142097,NA,NA,NA,NA,1826.914282,934.6186242,NA,NA,NA,NA,771.2876128,1083.38231
1644.020015,559.8122937,NA,NA,NA,NA,1806.695097,764.5023709,NA,NA,NA,NA,597.0432507,1065.597151
1885.76059,1070.020499,NA,NA,NA,NA,1874.940578,1152.10065,NA,NA,NA,NA,578.8838038,879.2402205
1814.277494,1182.497452,NA,NA,NA,NA,2271.645081,1125.832414,NA,NA,NA,NA,1099.649709,986.5404429
2159.496347,415.7836699,NA,NA,NA,NA,2047.757303,891.4230765,NA,NA,NA,NA,1015.230292,740.9237595
1973.54877,610.8405334,NA,NA,NA,NA,1718.902013,235.2910003,NA,NA,NA,NA,697.1460271,1227.723093
2055.501561,188.2725416,NA,NA,NA,NA,1882.787279,898.1577347,NA,NA,NA,NA,1154.692473,1415.644671
1712.004463,699.8270943,NA,NA,NA,NA,2070.084361,693.9528878,NA,NA,NA,NA,1001.96744,994.8243022
2141.567105,804.6564634,NA,NA,NA,NA,2065.016019,878.9334151,NA,NA,NA,NA,650.2740024,1228.889205
1690.955116,439.1600521,NA,NA,NA,NA,1817.080288,770.9366565,NA,NA,NA,NA,935.2100163,803.7564696
1723.214467,596.0234712,NA,NA,NA,NA,1949.687262,936.2984748,NA,NA,NA,NA,1115.500039,1350.983928
2032.779,658.4639181,NA,NA,NA,NA,1919.824708,928.767704,NA,NA,NA,NA,932.4083548,1740.163444
1669.095074,572.4125018,NA,NA,NA,NA,1695.349482,893.106286,NA,NA,NA,NA,849.7506888,1181.407653
1938.558947,414.138337,NA,NA,NA,NA,1754.220271,610.5897135,NA,NA,NA,NA,1048.946043,1300.356894
2210.009363,1006.332208,NA,NA,NA,NA,1980.787603,1003.61942,NA,NA,NA,NA,682.3538304,627.4265442
1897.954571,847.3357141,NA,NA,NA,NA,1777.188821,571.0097117,NA,NA,NA,NA,1157.003888,1215.326586
2038.673097,868.7276529,NA,NA,NA,NA,1851.27189,352.742679,NA,NA,NA,NA,720.6767414,811.4992476
1741.781068,861.3087867,NA,NA,NA,NA,1896.851727,908.6508938,NA,NA,NA,NA,733.6996639,905.6501333
1845.839913,443.5010447,NA,NA,NA,NA,1670.466573,622.5455964,NA,NA,NA,NA,766.2939106,1467.908736
2049.080346,621.7438669,NA,NA,NA,NA,1843.862066,656.8695919,NA,NA,NA,NA,902.7130547,1257.569014
1841.881646,524.4713479,NA,NA,NA,NA,2098.881053,655.283856,NA,NA,NA,NA,963.8754924,1023.297216
1852.646552,471.4468932,NA,NA,NA,NA,2111.591897,538.2808656,NA,NA,NA,NA,1029.832102,1151.342484
2189.605978,775.5570315,NA,NA,NA,NA,2149.936024,252.3831445,NA,NA,NA,NA,980.4992177,1461.72982
1854.85627,313.513588,NA,NA,NA,NA,1970.921054,919.6317908,NA,NA,NA,NA,813.9581796,1428.816317
1725.201258,949.2785617,NA,NA,NA,NA,1983.382527,492.8326561,NA,NA,NA,NA,1015.473119,1366.222304
1458.934466,251.2128454,NA,NA,NA,NA,1957.850381,762.4603038,NA,NA,NA,NA,601.627231,1499.251895
1600.012725,786.9135849,NA,NA,NA,NA,2127.463167,827.8525572,NA,NA,NA,NA,1165.820712,818.1284948
2055.728464,708.1043949,NA,NA,NA,NA,2428.805498,894.5901855,NA,NA,NA,NA,763.489034,914.7425907
1805.67575,892.8273815,NA,NA,NA,NA,1865.845533,388.5550043,NA,NA,NA,NA,1210.480011,944.667879
1870.50947,470.8308278,NA,NA,NA,NA,1587.633559,795.2014906,NA,NA,NA,NA,957.4984935,1451.557594
1886.05736,557.799532,NA,NA,NA,NA,2107.849632,865.8763158,NA,NA,NA,NA,724.9017586,1174.483706
1848.398378,571.5352969,NA,NA,NA,NA,1831.186857,950.2704958,NA,NA,NA,NA,1046.487183,1128.755235
1937.147219,850.429182,NA,NA,NA,NA,2359.307451,727.4945202,NA,NA,NA,NA,1207.464526,1057.248152
2169.707712,673.8545342,NA,NA,NA,NA,1697.756274,1022.972304,NA,NA,NA,NA,951.0150914,1180.234352
1772.719414,709.8034964,NA,NA,NA,NA,1920.604271,669.1805827,NA,NA,NA,NA,888.015488,1078.712195
1816.676219,554.424895,NA,NA,NA,NA,1860.974959,944.6481343,NA,NA,NA,NA,986.7887648,1014.588884
1876.895256,256.4265902,NA,NA,NA,NA,1634.758051,813.5766625,NA,NA,NA,NA,1011.813248,1118.5209
1832.258347,851.4938776,NA,NA,NA,NA,2265.870292,914.2460062,NA,NA,NA,NA,763.063245,1062.204846
2140.591232,845.5863852,NA,NA,NA,NA,1942.598879,1021.770362,NA,NA,NA,NA,729.3265771,1023.291613
1655.070466,720.9296591,NA,NA,NA,NA,1871.730294,785.9145587,NA,NA,NA,NA,1092.188458,1262.181986
1817.244226,571.212784,NA,NA,NA,NA,2263.987088,422.5931864,NA,NA,NA,NA,1072.097291,656.0678825
2243.933924,648.5098244,NA,NA,NA,NA,2328.131841,890.2441723,NA,NA,NA,NA,564.2158865,841.573962
2092.111408,766.7655868,NA,NA,NA,NA,1842.322316,885.2447529,NA,NA,NA,NA,300.2935312,1362.817971
2288.174036,443.148857,NA,NA,NA,NA,1628.56896,437.7878562,NA,NA,NA,NA,873.138612,1195.65768
1665.817764,577.8092974,NA,NA,NA,NA,1584.208055,679.5464358,NA,NA,NA,NA,1052.193402,808.2615882
2008.641614,823.9175228,NA,NA,NA,NA,1865.226177,812.8137958,NA,NA,NA,NA,815.8149424,979.3272583
1776.553715,908.365633,NA,NA,NA,NA,2417.31373,317.4738366,NA,NA,NA,NA,900.2265941,924.9279296
1693.099907,971.2140105,NA,NA,NA,NA,2173.827919,478.9867358,NA,NA,NA,NA,967.6345497,1235.241936
1707.685526,772.9505088,NA,NA,NA,NA,1496.45809,845.6666527,NA,NA,NA,NA,976.977373,758.0977937
2040.549624,619.8689898,NA,NA,NA,NA,1706.925474,399.1697568,NA,NA,NA,NA,722.0417878,1206.327376
1784.275072,964.4581168,NA,NA,NA,NA,1895.521361,666.6558931,NA,NA,NA,NA,960.6600479,1167.981001
1899.139371,728.5999993,NA,NA,NA,NA,2081.957322,793.1016042,NA,NA,NA,NA,805.8833343,1079.446267
1705.184291,548.8322506,NA,NA,NA,NA,1776.662817,680.8987331,NA,NA,NA,NA,1046.606872,1099.427966
2138.699738,627.9892915,NA,NA,NA,NA,1766.020846,788.1673728,NA,NA,NA,NA,758.2742096,570.8839024
1905.576897,706.4127456,NA,NA,NA,NA,2230.779838,778.3464544,NA,NA,NA,NA,705.8802092,1462.432646
1885.003796,710.502575,NA,NA,NA,NA,1666.188818,701.4307304,NA,NA,NA,NA,1096.465522,1014.228715
1470.887864,835.6547881,NA,NA,NA,NA,2108.434496,671.3809306,NA,NA,NA,NA,858.0388963,1263.374649
2044.397589,593.5355249,NA,NA,NA,NA,1776.747472,666.4980511,NA,NA,NA,NA,863.9781723,1259.479654
2444.386381,895.4142679,NA,NA,NA,NA,1936.761904,855.3704058,NA,NA,NA,NA,870.0547448,1052.66474
1793.3015,927.4393214,NA,NA,NA,NA,1814.955272,798.0036714,NA,NA,NA,NA,961.2222973,1270.938304
1537.052588,839.0436944,NA,NA,NA,NA,1982.273336,1055.136971,NA,NA,NA,NA,900.9746573,1297.551964
1994.267148,1049.646644,NA,NA,NA,NA,1935.160924,986.2563863,NA,NA,NA,NA,725.4705504,904.2220937
1791.223963,434.2689675,NA,NA,NA,NA,1684.716682,562.0400659,NA,NA,NA,NA,1206.311807,1121.700067
1850.822959,746.2826601,NA,NA,NA,NA,1680.170384,869.043809,NA,NA,NA,NA,892.3837749,1160.552706
1951.681937,814.897886,NA,NA,NA,NA,1981.485011,907.8938919,NA,NA,NA,NA,990.1408066,1319.677745
1831.118686,668.0046246,NA,NA,NA,NA,2107.642702,635.9230644,NA,NA,NA,NA,834.0957243,1234.93891
1868.814531,622.4445178,NA,NA,NA,NA,2184.426535,1053.074212,NA,NA,NA,NA,885.0729289,1384.233712
1973.94194,398.2304525,NA,NA,NA,NA,1600.293663,693.8300724,NA,NA,NA,NA,700.6905699,823.9769564
1806.87755,693.8405971,NA,NA,NA,NA,1758.613758,478.8650765,NA,NA,NA,NA,743.8751571,1097.475184
2184.099087,970.3202661,NA,NA,NA,NA,1598.623312,890.3493934,NA,NA,NA,NA,668.0238868,1070.088577
2058.611875,1143.117891,NA,NA,NA,NA,1777.44254,226.1903024,NA,NA,NA,NA,579.3313578,1096.860793
1849.321394,293.9285127,NA,NA,NA,NA,1591.601986,451.3934737,NA,NA,NA,NA,950.6442095,1020.673954
2005.336857,740.4792459,NA,NA,NA,NA,2155.315742,545.744033,NA,NA,NA,NA,760.627902,824.3127812
2116.271935,849.1701184,NA,NA,NA,NA,1851.928029,523.8317522,NA,NA,NA,NA,713.4383318,1208.614161
2100.99828,864.122457,NA,NA,NA,NA,2274.148296,458.865117,NA,NA,NA,NA,837.4123366,815.7533532
1793.836298,545.1215665,NA,NA,NA,NA,1577.415957,235.991206,NA,NA,NA,NA,1181.468171,1127.411698
1904.838057,819.7826162,NA,NA,NA,NA,1790.18424,1075.905743,NA,NA,NA,NA,1032.839064,799.7300353
