ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
1.433139772,1.107170362,NaN,NaN,NaN,NaN,NaN,NaN,2.996329556,-0.06914668,NaN,NaN,-0.002829044,-0.080115321
1.352064206,1.031296172,NaN,NaN,NaN,NaN,NaN,NaN,3.094743444,0.200553395,NaN,NaN,-0.001372991,-0.012764667
1.229028352,1.016999342,NaN,NaN,NaN,NaN,NaN,NaN,3.064534874,-0.257101406,NaN,NaN,0.001944512,-0.241281454
1.14221828,0.99505622,NaN,NaN,NaN,NaN,NaN,NaN,2.820928655,0.268281296,NaN,NaN,0.000145469,-0.006501995
1.287121378,1.176807929,NaN,NaN,NaN,NaN,NaN,NaN,3.198186666,-0.042389666,NaN,NaN,0.004363018,-0.167259794
0.979641257,0.958726281,NaN,NaN,NaN,NaN,NaN,NaN,3.088819758,0.168525424,NaN,NaN,0.002224046,-0.12307129
1.074995005,1.200848505,NaN,NaN,NaN,NaN,NaN,NaN,2.873191854,0.101506675,NaN,NaN,-0.001113478,-0.343152672
1.177800721,1.020465011,NaN,NaN,NaN,NaN,NaN,NaN,3.098385962,0.170095105,NaN,NaN,-0.002205218,0.292322904
1.036284217,1.009490252,NaN,NaN,NaN,NaN,NaN,NaN,2.887534514,0.294975314,NaN,NaN,-0.001827554,-0.360302328
1.143569205,1.186290234,NaN,NaN,NaN,NaN,NaN,NaN,3.216663204,-0.200274352,NaN,NaN,0.002168332,0.279832696
1.448922307,1.030011468,NaN,NaN,NaN,NaN,NaN,NaN,3.000265046,-0.043881474,NaN,NaN,-0.000179108,0.099280858
1.249730338,1.061194229,NaN,NaN,NaN,NaN,NaN,NaN,2.972508443,0.077233658,NaN,NaN,-0.001481291,0.314216153
1.247574988,1.146581603,NaN,NaN,NaN,NaN,NaN,NaN,2.79762537,-0.171611866,NaN,NaN,-0.000355753,-0.108332869
1.161472161,1.093514025,NaN,NaN,NaN,NaN,NaN,NaN,2.956228952,0.037707589,NaN,NaN,0.000546077,0.011650904
0.936444932,0.984253877,NaN,NaN,NaN,NaN,NaN,NaN,3.026889474,-0.011168212,NaN,NaN,-0.002730505,0.002358178
0.857019613,1.148745671,NaN,NaN,NaN,NaN,NaN,NaN,2.991313676,0.057876428,NaN,NaN,0.002236566,0.33054247
1.290193244,1.165688959,NaN,NaN,NaN,NaN,NaN,NaN,3.077344569,0.296875304,NaN,NaN,0.002262746,0.202456762
1.120555638,1.261150568,NaN,NaN,NaN,NaN,NaN,NaN,3.357527218,-0.210749125,NaN,NaN,0.002131367,0.253259131
1.208740695,1.024513468,NaN,NaN,NaN,NaN,NaN,NaN,2.933552018,0.308209378,NaN,NaN,0.000975757,0.264449313
0.723547533,1.234499106,NaN,NaN,NaN,NaN,NaN,NaN,3.106355171,0.217411381,NaN,NaN,-0.003316335,0.295262244
1.395008161,1.039074242,NaN,NaN,NaN,NaN,NaN,NaN,3.23408186,0.045085382,NaN,NaN,-0.000718914,-0.376883875
0.899906347,1.050674614,NaN,NaN,NaN,NaN,NaN,NaN,2.881285098,-0.151140511,NaN,NaN,0.001160885,-0.29746494
0.973243382,1.151010218,NaN,NaN,NaN,NaN,NaN,NaN,2.763501716,0.577347819,NaN,NaN,-0.000250221,0.123697428
1.180870137,1.24395108,NaN,NaN,NaN,NaN,NaN,NaN,3.108560965,-0.068732373,NaN,NaN,0.001830558,0.217846426
1.338592684,1.121683952,NaN,NaN,NaN,NaN,NaN,NaN,3.209002354,-0.144946099,NaN,NaN,-0.002263577,0.236333088
0.956956503,1.009649462,NaN,NaN,NaN,NaN,NaN,NaN,2.606196914,0.074822718,NaN,NaN,-0.002449721,-0.346592274
1.263848255,1.204410742,NaN,NaN,NaN,NaN,NaN,NaN,3.117938108,-0.03304462,NaN,NaN,0.001516985,0.09814592
1.298844654,1.050846173,NaN,NaN,NaN,NaN,NaN,NaN,2.910253444,-0.237334708,NaN,NaN,0.000177873,-0.015199654
1.030887232,0.930112329,NaN,NaN,NaN,NaN,NaN,NaN,3.114574746,0.186185807,NaN,NaN,-0.000947821,0.440320406
1.450908807,1.092994445,NaN,NaN,NaN,NaN,NaN,NaN,2.91407653,-0.410970182,NaN,NaN,-0.002815904,-0.007214093
0.853316585,0.970628034,NaN,NaN,NaN,NaN,NaN,NaN,2.892493072,0.305612796,NaN,NaN,-0.00108952,-0.116734528
1.283204945,1.206307103,NaN,NaN,NaN,NaN,NaN,NaN,2.959254291,0.049513286,NaN,NaN,-0.003577516,0.054796245
0.86003302,1.087504178,NaN,NaN,NaN,NaN,NaN,NaN,2.812755732,0.163064333,NaN,NaN,-0.001234844,0.237334701
1.198376571,1.118577714,NaN,NaN,NaN,NaN,NaN,NaN,3.044943262,-0.114865323,NaN,NaN,0.00141652,-0.017058123
0.920525437,1.31061131,NaN,NaN,NaN,NaN,NaN,NaN,2.878150035,-0.04323136,NaN,NaN,-0.002236211,-0.064093683
0.845888749,1.151008663,NaN,NaN,NaN,NaN,NaN,NaN,2.850705722,-0.117849416,NaN,NaN,-0.000980778,-0.034145091
1.168496723,1.067980553,NaN,NaN,NaN,NaN,NaN,NaN,3.026376075,0.040215442,NaN,NaN,-0.000642307,-0.235279663
1.080682101,1.116920339,NaN,NaN,NaN,NaN,NaN,NaN,2.901748516,0.192348523,NaN,NaN,0.000939738,-0.167378287
1.198900721,1.174791645,NaN,NaN,NaN,NaN,NaN,NaN,2.838112225,0.336004612,NaN,NaN,-0.002650445,0.355204161
1.161578914,1.110375235,NaN,NaN,NaN,NaN,NaN,NaN,3.094766531,0.221146477,NaN,NaN,0.000253411,0.01548614
