ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
2704,0.6954,NA,NA,50490,0.6277,2371,1.984,1947,1.473,12460,2.885,53.1,1.075
2818,0.6409,NA,NA,137200,0.4536,2734,1.225,1802,1.212,12460,2.885,52.07,1.063
3939,0.718,NA,NA,26120,0.8349,3064,1.108,1921,1.421,9611,3.046,50.91,1.01
2077,0.7295,NA,NA,13220,1.184,2681,1.236,2019,1.19,5858,5.368,41.77,1.038
2568,0.704,NA,NA,41920,0.6168,2799,1.103,1897,1.36,5858,5.368,45.9,0.9555
3318,0.5962,NA,NA,67640,0.5535,2626,0.9595,1948,1.29,5480,6.169,56.11,0.9086
2394,0.611,NA,NA,81860,0.5033,2772,1.595,1948,1.353,5480,6.169,51.26,0.9721
2595,0.7116,NA,NA,30400,0.6855,2953,1.595,1645,1.308,5480,6.169,49.58,0.9419
2861,0.644,NA,NA,26600,0.6545,3384,0.9985,1742,1.457,5480,6.169,40.53,1.188
3663,0.6506,NA,NA,163100,0.3869,3181,1.08,1667,1.322,7285,4.168,52.7,1.06
2968,0.7046,NA,NA,47160,0.5676,3062,1.03,1722,1.47,7285,4.168,50.08,1.02
3534,0.4645,NA,NA,36690,0.6354,3395,1.219,1703,1.518,11320,2.935,49.79,0.9513
2612,0.7285,NA,NA,31310,0.7206,2541,1.45,1685,1.306,11300,2.81,50.65,0.9829
8969,0.2843,NA,NA,168700,0.431,3032,1.535,1874,1.343,12000,2.777,44.4,0.7867
5110,0.5567,NA,NA,33660,0.7217,2572,1.137,1961,1.351,8185,3.673,55.38,1.008
3267,0.5437,NA,NA,11380,1.025,3068,1.113,2023,1.291,7445,4.484,60.39,0.8806
1939,0.7433,NA,NA,14000,0.8804,2965,1.045,1661,1.512,7445,4.484,47.11,0.9287
2040,0.6777,NA,NA,21960,0.8032,2930,1.305,1871,1.722,7581,4.458,47.37,0.8542
3136,0.5934,NA,NA,53360,0.5889,2948,1.117,1668,1.304,713300,3.056,45.52,1.011
3117,0.674,NA,NA,17220,0.9057,2778,1.619,1757,1.497,351300,1.049,59.29,1.01
2170,0.7452,NA,NA,10130,1.117,3047,1.078,1901,1.154,18230,2.364,60.61,0.9253
2985,0.6535,NA,NA,11770,1.149,3612,0.9361,1692,1.422,12710,2.517,51.61,0.9034
3883,0.6364,NA,NA,8472,1.259,3252,1.204,1765,1.381,396300,1.289,50.18,0.8627
2659,0.7514,NA,NA,53250,0.5685,2181,1.308,1775,1.442,279100,0.941,50.61,0.966
2698,0.7444,NA,NA,22140,0.8209,3082,1.43,1830,1.244,279100,0.941,58,0.9145
2486,0.7127,NA,NA,14450,0.9529,2902,0.956,1883,1.09,6729,4.707,45.59,0.8918
3481,0.5469,NA,NA,12820,1.037,2806,1.484,1866,1.164,6729,4.707,56.39,0.8725
2818,0.6235,NA,NA,24710,0.747,2604,1.276,1678,1.483,7359,4.082,55.49,0.9797
2168,0.9843,NA,NA,14080,0.9654,2815,1.405,1837,1.285,7359,4.082,48.77,1.142
3857,0.4351,NA,NA,16920,0.9166,2858,1.304,1609,1.313,8536,3.793,53.05,1.012
3196,0.6472,NA,NA,23690,0.7794,2909,1.068,1867,1.585,7434,4.059,45.17,0.8691
7036,0.5053,NA,NA,25850,0.82,2709,1.016,1682,1.394,8913,3.36,54.71,0.7491
2808,0.6478,NA,NA,28050,0.5833,3551,0.8976,1774,1.321,16250,2.182,58.83,0.9076
2604,0.7916,NA,NA,26610,0.7995,2838,1.026,1939,1.363,16250,2.182,49.42,0.8172
2529,0.6944,NA,NA,20180,0.8618,3351,1.036,1789,1.528,8210,3.744,51.03,0.8468
2482,0.7801,NA,NA,14610,0.8649,3043,1.209,1936,1.493,8978,3.412,55.97,0.9207
4291,0.5702,NA,NA,56570,0.5392,3223,0.9651,1704,1.332,8500,3.909,41.03,0.9598
2762,0.6711,NA,NA,45010,0.6064,2871,1.016,2106,1.423,11740,3.077,57.11,0.9877
3297,0.5556,NA,NA,11190,1.104,2810,1.095,1978,1.211,13980,2.604,51.57,0.7824
1596,0.7569,NA,NA,11390,1.102,2881,1.255,1693,1.222,11380,2.89,47.5,0.8735
