GNa_fast,GNa_late,Gto,GKr,GKs,GK1,GNaCa,GKb,PCa,INaK,PNab,PCab,GpCa,SERCA_total,RyR_total,Trans_total,Leak_total,KCaMK
1.53613234,1.789137698,1.674032075,0.96985819,0.269332111,1.433867163,1.428043091,1,1.606570332,0.437940232,1,1,1,1,1,1,1,1
0.694017234,1.024084694,0.909601982,0.886233998,0.382934646,1.000710037,1.77702606,1,1.967343191,0.561052174,1,1,1,1,1,1,1,1
1.459407417,1.17835957,0.862841717,0.948332171,0.910915281,1.389420078,1.32152789,1,1.845747256,0.833142387,1,1,1,1,1,1,1,1
1.525245592,1.24450714,0.454940021,0.754769779,0.689324549,1.729269055,1.172637536,1,1.928034022,0.554138315,1,1,1,1,1,1,1,1
0.602772229,1.280137908,0.310366667,0.848737074,0.758831084,1.609588048,1.710993927,1,1.227026787,0.725847953,1,1,1,1,1,1,1,1
1.609837187,1.901888832,0.476114582,0.885164939,0.89767151,0.832000552,1.677628355,1,1.89716872,0.394223779,1,1,1,1,1,1,1,1
1.768508725,1.020397989,0.615343987,0.917226362,0.103446887,1.580616863,1.377654027,1,1.130601511,0.353072803,1,1,1,1,1,1,1,1
0.7523891,1.31990951,0.248369591,0.856364068,0.90339097,0.81495297,1.028970286,1,1.239603826,0.36161398,1,1,1,1,1,1,1,1
1.461816838,1.615577213,0.827716863,0.953268237,0.84421423,1.491167683,1.15457479,1,1.548670399,0.778556575,1,1,1,1,1,1,1,1
1.510521982,1.371530128,1.544803493,0.55531881,0.968599112,1.861035902,1.007930305,1,1.149093921,0.54734982,1,1,1,1,1,1,1,1
0.523561131,1.005636058,0.867974003,0.983119662,0.066893668,0.929057744,1.033677053,1,1.820936772,0.624986048,1,1,1,1,1,1,1,1
1.595831163,1.14634455,0.454659777,0.671617631,0.255501897,1.321840874,1.049706989,1,1.092286831,0.460216952,1,1,1,1,1,1,1,1
1.830007961,1.855658072,0.021690839,0.873673582,0.338049876,1.48172181,1.218484032,1,1.935097655,0.349852989,1,1,1,1,1,1,1,1
1.717776528,1.271194656,1.18649003,0.948995293,0.857452649,0.509298998,1.117637574,1,1.833519066,0.435625782,1,1,1,1,1,1,1,1
1.637198034,1.372022345,0.789338021,0.934901578,0.705644231,0.735370516,1.154377418,1,1.738655216,0.871617209,1,1,1,1,1,1,1,1
1.947709608,1.867601369,0.653814825,0.918661403,0.215818936,1.403270291,1.325905232,1,1.935025806,0.525152656,1,1,1,1,1,1,1,1
1.424378078,1.951621866,1.740741452,0.774997973,0.98312926,0.805644256,1.560366802,1,1.393963905,0.589010847,1,1,1,1,1,1,1,1
1.336594066,1.398270858,1.329061174,0.931257641,0.467532582,0.829828704,1.151725259,1,1.201580044,0.710961251,1,1,1,1,1,1,1,1
1.67409988,1.101120102,1.965409813,0.770307561,0.089260927,1.267892714,1.079768947,1,1.062824096,0.414717615,1,1,1,1,1,1,1,1
1.7199377,1.753016508,1.353035061,0.951686634,0.451709451,0.787034713,1.25142615,1,1.325151314,0.567512847,1,1,1,1,1,1,1,1
0.642115805,1.938939812,0.046107025,0.982379048,0.412979043,1.681382609,1.068289133,1,1.010511089,0.430387878,1,1,1,1,1,1,1,1
1.714393449,1.862865218,0.460595658,0.898528403,0.619988577,1.514727952,1.331210471,1,1.500113309,0.577530504,1,1,1,1,1,1,1,1
1.434799744,1.931781909,1.918090572,0.835168561,0.750287315,1.492526493,1.686379436,1,1.616522628,0.45778853,1,1,1,1,1,1,1,1
