ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
35500,0.5796,NA,NA,NA,NA,14120,1.345,NA,NA,NA,NA,344.8,0.9524
33900,0.6272,NA,NA,NA,NA,13510,1.329,NA,NA,NA,NA,339.8,1.092
62480,0.5439,NA,NA,NA,NA,12350,1.523,NA,NA,NA,NA,310.7,1.059
51180,0.6031,NA,NA,NA,NA,17200,1.125,NA,NA,NA,NA,269.4,1.108
53110,0.5846,NA,NA,NA,NA,23850,1.113,NA,NA,NA,NA,279.8,1.037
31770,0.7501,NA,NA,NA,NA,11960,1.742,NA,NA,NA,NA,339.6,1.355
26090,0.7551,NA,NA,NA,NA,13670,1.42,NA,NA,NA,NA,247.6,0.889
33690,0.6517,NA,NA,NA,NA,16870,1.136,NA,NA,NA,NA,287.8,1.002
60970,0.5431,NA,NA,NA,NA,11620,1.468,NA,NA,NA,NA,259,1.017
47870,0.6039,NA,NA,NA,NA,14490,1.259,NA,NA,NA,NA,266.4,1.166
40270,0.6334,NA,NA,NA,NA,11090,1.559,NA,NA,NA,NA,368.1,0.9777
37390,0.6831,NA,NA,NA,NA,18940,1.023,NA,NA,NA,NA,234.4,0.7227
34320,0.701,NA,NA,NA,NA,32630,0.835,NA,NA,NA,NA,376.5,1.084
65250,0.5466,NA,NA,NA,NA,20460,1.067,NA,NA,NA,NA,423.8,1.099
63500,0.5405,NA,NA,NA,NA,13460,1.344,NA,NA,NA,NA,345.2,1.018
50740,0.6046,NA,NA,NA,NA,17730,1.166,NA,NA,NA,NA,286.2,0.9629
44270,0.6304,NA,NA,NA,NA,12060,1.478,NA,NA,NA,NA,334.3,1.029
40760,0.6338,NA,NA,NA,NA,13830,1.337,NA,NA,NA,NA,337,0.9152
39630,0.6422,NA,NA,NA,NA,17240,1.174,NA,NA,NA,NA,333,0.8181
41510,0.6369,NA,NA,NA,NA,11050,1.751,NA,NA,NA,NA,320.8,1.125
47580,0.5907,NA,NA,NA,NA,10630,1.471,NA,NA,NA,NA,388.4,1.339
